id	ts	host	level	latency_ms	bytes	msg
1	1700000013	web-2	INFO	7	81	query ok
2	1700000026	api-1	INFO	14	98	cache miss
3	1700000039	api-2	WARN	21	115	retry scheduled
4	1700000052	worker-a	DEBUG	28	132	timeout waiting on upstream
5	1700000065	worker-b	ERROR	35	149	wrote batch
6	1700000078	cache-1	INFO	42	166	auth ok
7	1700000091	web-1	INFO	49	183	rate limited
8	1700000104	web-2	INFO	56	200	accepted connection
9	1700000117	api-1	WARN	63	217	query ok
10	1700000130	api-2	DEBUG	70	234	cache miss
11	1700000143	worker-a	ERROR	77	251	retry scheduled
12	1700000156	worker-b	INFO	84	268	timeout waiting on upstream
13	1700000169	cache-1	INFO	91	285	wrote batch
14	1700000182	web-1	INFO	98	302	auth ok
15	1700000195	web-2	WARN	105	319	rate limited
16	1700000208	api-1	DEBUG	112	336	accepted connection
17	1700000221	api-2	ERROR	119	353	query ok
18	1700000234	worker-a	INFO	126	370	cache miss
19	1700000247	worker-b	INFO	133	387	retry scheduled
20	1700000260	cache-1	INFO	140	404	timeout waiting on upstream
21	1700000273	web-1	WARN	147	421	wrote batch
22	1700000286	web-2	DEBUG	154	438	auth ok
23	1700000299	api-1	ERROR	161	455	rate limited
24	1700000312	api-2	INFO	168	472	accepted connection
25	1700000325	worker-a	INFO	175	489	query ok
26	1700000338	worker-b	INFO	182	506	cache miss
27	1700000351	cache-1	WARN	189	523	retry scheduled
28	1700000364	web-1	DEBUG	196	540	timeout waiting on upstream
29	1700000377	web-2	ERROR	203	557	wrote batch
30	1700000390	api-1	INFO	210	574	auth ok
31	1700000403	api-2	INFO	217	591	rate limited
32	1700000416	worker-a	INFO	224	608	accepted connection
33	1700000429	worker-b	WARN	231	625	query ok
34	1700000442	cache-1	DEBUG	238	642	cache miss
35	1700000455	web-1	ERROR	245	659	retry scheduled
36	1700000468	web-2	INFO	252	676	timeout waiting on upstream
37	1700000481	api-1	INFO	259	693	wrote batch
38	1700000494	api-2	INFO	266	710	auth ok
39	1700000507	worker-a	WARN	273	727	rate limited
40	1700000520	worker-b	DEBUG	280	744	accepted connection
41	1700000533	cache-1	ERROR	287	761	query ok
42	1700000546	web-1	INFO	294	778	cache miss
43	1700000559	web-2	INFO	301	795	retry scheduled
44	1700000572	api-1	INFO	308	812	timeout waiting on upstream
45	1700000585	api-2	WARN	315	829	wrote batch
46	1700000598	worker-a	DEBUG	322	846	auth ok
47	1700000611	worker-b	ERROR	329	863	rate limited
48	1700000624	cache-1	INFO	336	880	accepted connection
49	1700000637	web-1	INFO	343	897	query ok
50	1700000650	web-2	INFO	350	914	cache miss
51	1700000663	api-1	WARN	357	931	retry scheduled
52	1700000676	api-2	DEBUG	364	948	timeout waiting on upstream
53	1700000689	worker-a	ERROR	371	965	wrote batch
54	1700000702	worker-b	INFO	378	982	auth ok
55	1700000715	cache-1	INFO	385	999	rate limited
56	1700000728	web-1	INFO	392	1016	accepted connection
57	1700000741	web-2	WARN	399	1033	query ok
58	1700000754	api-1	DEBUG	406	1050	cache miss
59	1700000767	api-2	ERROR	413	1067	retry scheduled
60	1700000780	worker-a	INFO	420	1084	timeout waiting on upstream
61	1700000793	worker-b	INFO	427	1101	wrote batch
62	1700000806	cache-1	INFO	434	1118	auth ok
63	1700000819	web-1	WARN	441	1135	rate limited
64	1700000832	web-2	DEBUG	448	1152	accepted connection
65	1700000845	api-1	ERROR	455	1169	query ok
66	1700000858	api-2	INFO	462	1186	cache miss
67	1700000871	worker-a	INFO	469	1203	retry scheduled
68	1700000884	worker-b	INFO	476	1220	timeout waiting on upstream
69	1700000897	cache-1	WARN	483	1237	wrote batch
70	1700000910	web-1	DEBUG	490	1254	auth ok
71	1700000923	web-2	ERROR	497	1271	rate limited
72	1700000936	api-1	INFO	504	1288	accepted connection
73	1700000949	api-2	INFO	511	1305	query ok
74	1700000962	worker-a	INFO	518	1322	cache miss
75	1700000975	worker-b	WARN	525	1339	retry scheduled
76	1700000988	cache-1	DEBUG	532	1356	timeout waiting on upstream
77	1700001001	web-1	ERROR	539	1373	wrote batch
78	1700001014	web-2	INFO	546	1390	auth ok
79	1700001027	api-1	INFO	553	1407	rate limited
80	1700001040	api-2	INFO	560	1424	accepted connection
81	1700001053	worker-a	WARN	567	1441	query ok
82	1700001066	worker-b	DEBUG	574	1458	cache miss
83	1700001079	cache-1	ERROR	581	1475	retry scheduled
84	1700001092	web-1	INFO	588	1492	timeout waiting on upstream
85	1700001105	web-2	INFO	595	1509	wrote batch
86	1700001118	api-1	INFO	602	1526	auth ok
87	1700001131	api-2	WARN	609	1543	rate limited
88	1700001144	worker-a	DEBUG	616	1560	accepted connection
89	1700001157	worker-b	ERROR	623	1577	query ok
90	1700001170	cache-1	INFO	630	1594	cache miss
91	1700001183	web-1	INFO	637	1611	retry scheduled
92	1700001196	web-2	INFO	644	1628	timeout waiting on upstream
93	1700001209	api-1	WARN	651	1645	wrote batch
94	1700001222	api-2	DEBUG	658	1662	auth ok
95	1700001235	worker-a	ERROR	665	1679	rate limited
96	1700001248	worker-b	INFO	672	1696	accepted connection
97	1700001261	cache-1	INFO	679	1713	query ok
98	1700001274	web-1	INFO	686	1730	cache miss
99	1700001287	web-2	WARN	693	1747	retry scheduled
100	1700001300	api-1	DEBUG	700	1764	timeout waiting on upstream
101	1700001313	api-2	ERROR	707	1781	wrote batch
102	1700001326	worker-a	INFO	714	1798	auth ok
103	1700001339	worker-b	INFO	721	1815	rate limited
104	1700001352	cache-1	INFO	728	1832	accepted connection
105	1700001365	web-1	WARN	735	1849	query ok
106	1700001378	web-2	DEBUG	742	1866	cache miss
107	1700001391	api-1	ERROR	749	1883	retry scheduled
108	1700001404	api-2	INFO	756	1900	timeout waiting on upstream
109	1700001417	worker-a	INFO	763	1917	wrote batch
110	1700001430	worker-b	INFO	770	1934	auth ok
111	1700001443	cache-1	WARN	777	1951	rate limited
112	1700001456	web-1	DEBUG	784	1968	accepted connection
113	1700001469	web-2	ERROR	791	1985	query ok
114	1700001482	api-1	INFO	798	2002	cache miss
115	1700001495	api-2	INFO	805	2019	retry scheduled
116	1700001508	worker-a	INFO	812	2036	timeout waiting on upstream
117	1700001521	worker-b	WARN	819	2053	wrote batch
118	1700001534	cache-1	DEBUG	826	2070	auth ok
119	1700001547	web-1	ERROR	833	2087	rate limited
120	1700001560	web-2	INFO	840	2104	accepted connection
121	1700001573	api-1	INFO	847	2121	query ok
122	1700001586	api-2	INFO	854	2138	cache miss
123	1700001599	worker-a	WARN	861	2155	retry scheduled
124	1700001612	worker-b	DEBUG	868	2172	timeout waiting on upstream
125	1700001625	cache-1	ERROR	875	2189	wrote batch
126	1700001638	web-1	INFO	882	2206	auth ok
127	1700001651	web-2	INFO	889	2223	rate limited
128	1700001664	api-1	INFO	896	2240	accepted connection
129	1700001677	api-2	WARN	3	2257	query ok
130	1700001690	worker-a	DEBUG	10	2274	cache miss
131	1700001703	worker-b	ERROR	17	2291	retry scheduled
132	1700001716	cache-1	INFO	24	2308	timeout waiting on upstream
133	1700001729	web-1	INFO	31	2325	wrote batch
134	1700001742	web-2	INFO	38	2342	auth ok
135	1700001755	api-1	WARN	45	2359	rate limited
136	1700001768	api-2	DEBUG	52	2376	accepted connection
137	1700001781	worker-a	ERROR	59	2393	query ok
138	1700001794	worker-b	INFO	66	2410	cache miss
139	1700001807	cache-1	INFO	73	2427	retry scheduled
140	1700001820	web-1	INFO	80	2444	timeout waiting on upstream
141	1700001833	web-2	WARN	87	2461	wrote batch
142	1700001846	api-1	DEBUG	94	2478	auth ok
143	1700001859	api-2	ERROR	101	2495	rate limited
144	1700001872	worker-a	INFO	108	2512	accepted connection
145	1700001885	worker-b	INFO	115	2529	query ok
146	1700001898	cache-1	INFO	122	2546	cache miss
147	1700001911	web-1	WARN	129	2563	retry scheduled
148	1700001924	web-2	DEBUG	136	2580	timeout waiting on upstream
149	1700001937	api-1	ERROR	143	2597	wrote batch
150	1700001950	api-2	INFO	150	2614	auth ok
151	1700001963	worker-a	INFO	157	2631	rate limited
152	1700001976	worker-b	INFO	164	2648	accepted connection
153	1700001989	cache-1	WARN	171	2665	query ok
154	1700002002	web-1	DEBUG	178	2682	cache miss
155	1700002015	web-2	ERROR	185	2699	retry scheduled
156	1700002028	api-1	INFO	192	2716	timeout waiting on upstream
157	1700002041	api-2	INFO	199	2733	wrote batch
158	1700002054	worker-a	INFO	206	2750	auth ok
159	1700002067	worker-b	WARN	213	2767	rate limited
160	1700002080	cache-1	DEBUG	220	2784	accepted connection
161	1700002093	web-1	ERROR	227	2801	query ok
162	1700002106	web-2	INFO	234	2818	cache miss
163	1700002119	api-1	INFO	241	2835	retry scheduled
164	1700002132	api-2	INFO	248	2852	timeout waiting on upstream
165	1700002145	worker-a	WARN	255	2869	wrote batch
166	1700002158	worker-b	DEBUG	262	2886	auth ok
167	1700002171	cache-1	ERROR	269	2903	rate limited
168	1700002184	web-1	INFO	276	2920	accepted connection
169	1700002197	web-2	INFO	283	2937	query ok
170	1700002210	api-1	INFO	290	2954	cache miss
171	1700002223	api-2	WARN	297	2971	retry scheduled
172	1700002236	worker-a	DEBUG	304	2988	timeout waiting on upstream
173	1700002249	worker-b	ERROR	311	3005	wrote batch
174	1700002262	cache-1	INFO	318	3022	auth ok
175	1700002275	web-1	INFO	325	3039	rate limited
176	1700002288	web-2	INFO	332	3056	accepted connection
177	1700002301	api-1	WARN	339	3073	query ok
178	1700002314	api-2	DEBUG	346	3090	cache miss
179	1700002327	worker-a	ERROR	353	3107	retry scheduled
180	1700002340	worker-b	INFO	360	3124	timeout waiting on upstream
181	1700002353	cache-1	INFO	367	3141	wrote batch
182	1700002366	web-1	INFO	374	3158	auth ok
183	1700002379	web-2	WARN	381	3175	rate limited
184	1700002392	api-1	DEBUG	388	3192	accepted connection
185	1700002405	api-2	ERROR	395	3209	query ok
186	1700002418	worker-a	INFO	402	3226	cache miss
187	1700002431	worker-b	INFO	409	3243	retry scheduled
188	1700002444	cache-1	INFO	416	3260	timeout waiting on upstream
189	1700002457	web-1	WARN	423	3277	wrote batch
190	1700002470	web-2	DEBUG	430	3294	auth ok
191	1700002483	api-1	ERROR	437	3311	rate limited
192	1700002496	api-2	INFO	444	3328	accepted connection
193	1700002509	worker-a	INFO	451	3345	query ok
194	1700002522	worker-b	INFO	458	3362	cache miss
195	1700002535	cache-1	WARN	465	3379	retry scheduled
196	1700002548	web-1	DEBUG	472	3396	timeout waiting on upstream
197	1700002561	web-2	ERROR	479	3413	wrote batch
198	1700002574	api-1	INFO	486	3430	auth ok
199	1700002587	api-2	INFO	493	3447	rate limited
200	1700002600	worker-a	INFO	500	3464	accepted connection
201	1700002613	worker-b	WARN	507	3481	query ok
202	1700002626	cache-1	DEBUG	514	3498	cache miss
203	1700002639	web-1	ERROR	521	3515	retry scheduled
204	1700002652	web-2	INFO	528	3532	timeout waiting on upstream
